center,left,right,steering_angle,throttle,brake,speed
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_11_869.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_11_869.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_11_869.jpg,-0.25,1,0,24.53915
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_11_937.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_11_937.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_11_937.jpg,-0.45,1,0,25.22506
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_12_025.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_12_025.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_12_025.jpg,0,1,0,25.85934
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_12_106.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_12_106.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_12_106.jpg,0,1,0,26.58088
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_12_190.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_12_190.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_12_190.jpg,-0.2,1,0,27.32945
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_12_271.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_12_271.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_12_271.jpg,-0.4,1,0,28.01772
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_12_341.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_12_341.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_12_341.jpg,0,1,0,28.67728
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_12_411.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_12_411.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_12_411.jpg,0,1,0,29.21949
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_12_486.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_12_486.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_12_486.jpg,-0.1,1,0,29.95067
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_12_569.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_12_569.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_12_569.jpg,-0.3,1,0,30.17384
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_12_636.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_12_636.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_12_636.jpg,-0.45,1,0,30.1556
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_12_713.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_12_713.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_12_713.jpg,0,1,0,30.18418
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_12_787.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_12_787.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_12_787.jpg,0,1,0,30.18806
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_12_870.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_12_870.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_12_870.jpg,-0.1,1,0,30.1903
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_12_941.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_12_941.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_12_941.jpg,-0.3,1,0,30.17414
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_13_009.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_13_009.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_13_009.jpg,-0.45,1,0,30.15559
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_13_089.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_13_089.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_13_089.jpg,0,1,0,30.18841
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_13_159.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_13_159.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_13_159.jpg,0,1,0,30.19025
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_13_235.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_13_235.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_13_235.jpg,0,1,0,30.18982
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_13_314.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_13_314.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_13_314.jpg,0,1,0,30.19018
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_13_395.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_13_395.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_13_395.jpg,0,1,0,30.1904
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_13_480.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_13_480.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_13_480.jpg,-0.1,1,0,30.18747
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_13_547.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_13_547.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_13_547.jpg,-0.25,1,0,30.17515
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_13_623.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_13_623.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_13_623.jpg,-0.45,1,0,30.1522
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_13_695.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_13_695.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_13_695.jpg,0,1,0,30.18667
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_13_776.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_13_776.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_13_776.jpg,-0.05,1,0,30.19039
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_13_852.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_13_852.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_13_852.jpg,-0.25,1,0,30.17985
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_13_923.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_13_923.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_13_923.jpg,0,1,0,30.1901
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_14_018.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_14_018.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_14_018.jpg,0,1,0,30.18978
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_14_090.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_14_090.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_14_090.jpg,0,1,0,30.19018
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_14_162.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_14_162.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_14_162.jpg,0,1,0,30.19033
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_14_233.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_14_233.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_14_233.jpg,0,1,0,30.18977
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_14_319.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_14_319.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_14_319.jpg,-0.25,1,0,30.1752
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_14_403.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_14_403.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_14_403.jpg,-0.45,1,0,30.1522
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_14_472.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_14_472.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_14_472.jpg,0,1,0,30.18552
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_14_561.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_14_561.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_14_561.jpg,0,1,0,30.18966
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_14_645.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_14_645.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_14_645.jpg,0,1,0,30.19038
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_14_732.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_14_732.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_14_732.jpg,0,1,0,30.1899
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_14_818.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_14_818.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_14_818.jpg,-0.15,1,0,30.18552
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_14_900.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_14_900.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_14_900.jpg,0,1,0,30.19108
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_14_983.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_14_983.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_14_983.jpg,0,1,0,30.18999
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_15_055.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_15_055.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_15_055.jpg,0,1,0,30.19052
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_15_122.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_15_122.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_15_122.jpg,0,1,0,30.19034
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_15_202.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_15_202.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_15_202.jpg,0,1,0,30.19033
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_15_284.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_15_284.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_15_284.jpg,-0.15,1,0,30.18445
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_15_369.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_15_369.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_15_369.jpg,-0.35,1,0,30.16366
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_15_452.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_15_452.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_15_452.jpg,0,1,0,30.18951
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_15_551.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_15_551.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_15_551.jpg,-0.1,1,0,30.18928
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_15_628.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_15_628.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_15_628.jpg,-0.3,1,0,30.17188
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_15_719.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_15_719.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_15_719.jpg,0,1,0,30.18973
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_15_805.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_15_805.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_15_805.jpg,0,1,0,30.19023
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_15_899.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_15_899.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_15_899.jpg,0,1,0,30.1903
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_15_988.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_15_988.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_15_988.jpg,0,1,0,30.19036
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_16_082.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_16_082.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_16_082.jpg,-0.15,1,0,30.18442
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_16_161.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_16_161.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_16_161.jpg,0,1,0,30.19103
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_16_235.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_16_235.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_16_235.jpg,0,1,0,30.19003
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_16_314.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_16_314.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_16_314.jpg,0,1,0,30.19025
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_16_400.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_16_400.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_16_400.jpg,0,1,0,30.19029
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_16_471.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_16_471.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_16_471.jpg,-0.1,1,0,30.18794
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_16_550.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_16_550.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_16_550.jpg,-0.3,1,0,30.16964
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_16_638.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_16_638.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_16_638.jpg,0,1,0,30.18978
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_16_719.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_16_719.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_16_719.jpg,-0.05,1,0,30.19016
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_16_801.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_16_801.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_16_801.jpg,-0.25,1,0,30.17743
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_16_868.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_16_868.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_16_868.jpg,0,1,0,30.18393
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_16_945.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_16_945.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_16_945.jpg,0,1,0,30.18954
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_17_025.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_17_025.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_17_025.jpg,-0.1,1,0,30.18942
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_17_098.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_17_098.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_17_098.jpg,-0.3,1,0,30.17203
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_17_179.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_17_179.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_17_179.jpg,0,1,0,30.18976
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_17_269.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_17_269.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_17_269.jpg,0,1,0,30.19018
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_17_354.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_17_354.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_17_354.jpg,0,1,0,30.19027
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_17_444.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_17_444.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_17_444.jpg,0,1,0,30.19029
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_17_530.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_17_530.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_17_530.jpg,0,1,0,30.19029
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_17_629.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_17_629.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_17_629.jpg,-0.1,1,0,30.18762
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_17_710.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_17_710.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_17_710.jpg,-0.3,1,0,30.16929
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_17_792.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_17_792.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_17_792.jpg,0,1,0,30.18913
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_17_860.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_17_860.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_17_860.jpg,0,1,0,30.18975
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_17_953.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_17_953.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_17_953.jpg,0,1,0,30.1902
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_18_048.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_18_048.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_18_048.jpg,-0.25,1,0,30.17676
